鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
蘆洲區,建物,新北市蘆洲區長安街121~150號,0.0,住,,,10410,土地0建物3車位0,見其他登記事項,7,店面(店鋪),見其他登記事項,鋼筋混凝土造,0820413,998.2,0,0,0,無,無,無,220000,220,,0.0,0,,RPWOMLTJJIKFFGF76CC
新店區,房地(土地+建物)+車位,新北市新店區民權路61~90號,0.0,工,,,10410,土地0建物1車位1,五層,10,廠辦,工業用,鋼筋混凝土造,0820318,408.76,0,0,0,無,有,無,73863,181,坡道平面,0.0,0,,RPOOMLTJJIKFFCF18CC
新店區,房地(土地+建物),新北市新店區寶橋路181~210號,252.0,工,,,10411,土地1建物2車位0,三層,12,廠辦,見其他登記事項,鋼筋混凝土造,0960717,1370.21,0,0,0,無,有,有,390564,285,,0.0,0,,RPQOMLTJJIKFFCF38CC
永和區,建物,新北市永和區中山路一段151~180號,16.84,商,,,10410,土地0建物1車位0,見其他登記事項,12,店面(店鋪),商業用,鋼筋混凝土造,0770622,219.32,2,2,2,有,有,無,90000,410,,0.0,0,,RPOQMLTJJIKFFHF88CC
中和區,建物,新北市中和區華新街143巷106弄1~30號,0.0,住,,,10410,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701130,85.05,3,2,2,有,無,無,12000,141,,0.0,0,,RPPQMLTJJIKFFHF98CC
中和區,建物,新北市中和區中和路271~300號,0.0,商,,,10410,土地0建物1車位0,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800605,114.62,3,2,2,有,有,無,23000,201,,0.0,0,,RPQQMLTJJIKFFHF09CC
中和區,建物,新北市中和區景平路61~90號,13.57,住,,,10410,土地0建物1車位0,見其他登記事項,12,店面(店鋪),商業用,鋼筋混凝土造,0851129,129.16,0,2,1,有,有,有,43000,333,,0.0,0,,RPRQMLTJJIKFFHF56CC
中和區,房地(土地+建物)+車位,新北市中和區中興街181~210號,17.79,住,,,10410,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,157.03,3,2,2,有,有,無,30000,191,坡道平面,20.39,0,,RPSQMLTJJIKFFHF66CC
永和區,建物,新北市永和區仁愛路91~120號,0.0,住,,,10410,土地0建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021008,205.12,4,2,3,有,有,無,50000,244,,0.0,0,,RPTQMLTJJIKFFHF76CC
中和區,建物,新北市中和區勝利路35巷11弄1~30號,28.35,住,,,10410,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690926,82.4,3,2,1,有,無,無,14000,170,,0.0,0,,RPUQMLTJJIKFFHF86CC
中和區,建物,新北市中和區景安路200巷1~30號,0.0,住,,,10410,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790314,132.79,4,2,2,有,無,無,20000,151,,0.0,0,,RPVQMLTJJIKFFHF96CC
中和區,建物,新北市中和區景平路391~420號,0.0,住,,,10410,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900409,104.04,0,0,0,無,有,無,21000,202,,0.0,0,,RPWQMLTJJIKFFHF07CC
永和區,建物,新北市永和區得和路45巷1~30號,0.0,住,,,10410,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0810710,278.46,0,0,0,無,無,無,40000,144,,0.0,0,,RPORMLTJJIKFFHF98CC
中和區,建物,新北市中和區景平路91~120號,0.0,住,,,10410,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0651229,74.83,3,2,1,有,無,有,11000,147,,0.0,0,,RPQRMLTJJIKFFHF56CC
