編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLRKJIKFFAH48CA,21,154.11,住家用,鋼筋混凝土造,83年6月6日,十三層,十層
RPUOMLRKJIKFFAH48CA,21,60.08,共有部份,鋼筋混凝土造,83年6月6日,十三層,
RPUOMLRKJIKFFAH48CA,21,2.88,見其他登記事項,鋼筋混凝土造,83年6月6日,十三層,一層
RPUOMLRKJIKFFAH48CA,21,2.89,見其他登記事項,鋼筋混凝土造,83年6月6日,十三層,一層
RPPNMLOKJIKFFAH57CA,18,9.76,商業用,鋼筋混凝土造,86年12月24日,十七層,七層
RPPNMLOKJIKFFAH57CA,18,3.08,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPPNMLOKJIKFFAH57CA,18,.61,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPPNMLOKJIKFFAH57CA,18,.17,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPPNMLOKJIKFFAH57CA,18,4.68,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPPNMLOKJIKFFAH57CA,18,13.27,共有部份,鋼筋混凝土造,86年12月24日,十七層,
RPQOMLQKJIKFFAH97CA,1,117.30,住家用,鋼筋混凝土造,103年9月15日,十四層,十三層
RPQOMLQKJIKFFAH97CA,1,32.91,見其他登記事項,鋼筋混凝土造,103年9月15日,十四層,
RPQOMLQKJIKFFAH97CA,1,88.71,見其他登記事項,鋼筋混凝土造,103年9月15日,十四層,
RPROMLQKJIKFFAH08CA,1,117.30,住家用,鋼筋混凝土造,103年9月15日,十四層,十四層
RPROMLQKJIKFFAH08CA,1,32.91,見其他登記事項,鋼筋混凝土造,103年9月15日,十四層,
RPROMLQKJIKFFAH08CA,1,88.71,見其他登記事項,鋼筋混凝土造,103年9月15日,十四層,
RPTOMLQKJIKFFAH28CA,3,90.14,住家用,鋼筋混凝土造,101年12月10日,十五層,四層
RPTOMLQKJIKFFAH28CA,3,74.28,見其他登記事項,鋼筋混凝土造,101年12月10日,十五層,
RPSNMLTKJIKFFAH38CA,22,63.65,住家用,鋼筋混凝土造,83年3月3日,六層,五層
RPSNMLTKJIKFFAH38CA,22,15.87,共有部份,鋼筋混凝土造,83年3月3日,六層,
RPSNMLTKJIKFFAH38CA,22,4.19,共有部份,鋼筋混凝土造,83年3月3日,六層,
RPSNMLTKJIKFFAH38CA,22,5.84,共有部份,鋼筋混凝土造,83年3月3日,六層,
RPXOMLTKJIKFFAH98CA,9,52.49,見其他登記事項,鋼筋混凝土造,95年11月10日,六層,一層
